"category","revenue","revenue_share","cumulative_share","pareto_group"
health_beauty,1441248.07,0.0910,0.0910,Top 80%
watches_gifts,1305541.61,0.0824,0.1734,Top 80%
bed_bath_table,1241681.72,0.0784,0.2517,Top 80%
sports_leisure,1156656.48,0.0730,0.3247,Top 80%
computers_accessories,1059272.40,0.0669,0.3916,Top 80%
furniture_decor,902511.79,0.0570,0.4486,Top 80%
housewares,778397.77,0.0491,0.4977,Top 80%
cool_stuff,719329.95,0.0454,0.5431,Top 80%
auto,685384.32,0.0433,0.5864,Top 80%
garden_tools,584219.21,0.0369,0.6232,Top 80%
toys,561372.55,0.0354,0.6587,Top 80%
baby,480118.00,0.0303,0.6890,Top 80%
perfumery,453338.71,0.0286,0.7176,Top 80%
telephony,394883.32,0.0249,0.7425,Top 80%
office_furniture,342532.65,0.0216,0.7641,Top 80%
stationery,277741.71,0.0175,0.7817,Top 80%
pet_shop,253876.65,0.0160,0.7977,Top 80%
computers,232799.43,0.0147,0.8124,Remaining
musical_instruments,210137.37,0.0133,0.8256,Remaining
"",207705.09,0.0131,0.8387,Remaining
electronics,206825.06,0.0131,0.8518,Remaining
small_appliances,206668.83,0.0130,0.8648,Remaining
fashion_bags_accessories,184273.54,0.0116,0.8765,Remaining
consoles_games,177293.24,0.0112,0.8877,Remaining
luggage_accessories,170875.21,0.0108,0.8985,Remaining
construction_tools_construction,165328.00,0.0104,0.9089,Remaining
home_appliances_2,123917.92,0.0078,0.9167,Remaining
home_construction,96920.36,0.0061,0.9228,Remaining
home_appliances,94990.43,0.0060,0.9288,Remaining
furniture_living_room,86884.73,0.0055,0.9343,Remaining
agro_industry_and_commerce,78374.07,0.0049,0.9393,Remaining
home_confort,67073.27,0.0042,0.9435,Remaining
fixed_telephony,64220.81,0.0041,0.9475,Remaining
air_conditioning,61774.19,0.0039,0.9514,Remaining
kitchen_dining_laundry_garden_furniture,58327.80,0.0037,0.9551,Remaining
audio,56398.94,0.0036,0.9587,Remaining
books_general_interest,56052.40,0.0035,0.9622,Remaining
small_appliances_home_oven_and_coffee,50193.57,0.0032,0.9654,Remaining
construction_tools_lights,48663.80,0.0031,0.9685,Remaining
industry_commerce_and_business,47554.29,0.0030,0.9715,Remaining
construction_tools_safety,44463.62,0.0028,0.9743,Remaining
food,36664.44,0.0023,0.9766,Remaining
market_place,33834.53,0.0021,0.9787,Remaining
costruction_tools_garden,31027.29,0.0020,0.9807,Remaining
fashion_shoes,28481.64,0.0018,0.9825,Remaining
art,28247.81,0.0018,0.9843,Remaining
drinks,28169.95,0.0018,0.9860,Remaining
signaling_and_security,28017.05,0.0018,0.9878,Remaining
furniture_bedroom,24661.01,0.0016,0.9894,Remaining
books_technical,23379.12,0.0015,0.9908,Remaining
food_drink,19687.47,0.0012,0.9921,Remaining
costruction_tools_tools,17934.17,0.0011,0.9932,Remaining
fashion_male_clothing,12950.23,0.0008,0.9940,Remaining
christmas_supplies,12030.12,0.0008,0.9948,Remaining
fashion_underwear_beach,11457.74,0.0007,0.9955,Remaining
tablets_printing_image,8754.61,0.0006,0.9961,Remaining
cine_photo,8189.66,0.0005,0.9966,Remaining
dvds_blu_ray,7288.13,0.0005,0.9970,Remaining
music,6724.86,0.0004,0.9975,Remaining
furniture_mattress_and_upholstery,5998.54,0.0004,0.9978,Remaining
books_imported,5409.70,0.0003,0.9982,Remaining
party_supplies,5313.15,0.0003,0.9985,Remaining
portateis_cozinha_e_preparadores_de_alimentos,4278.29,0.0003,0.9988,Remaining
fashio_female_clothing,3425.39,0.0002,0.9990,Remaining
fashion_sport,2697.64,0.0002,0.9992,Remaining
la_cuisine,2388.54,0.0002,0.9993,Remaining
arts_and_craftmanship,2184.14,0.0001,0.9995,Remaining
diapers_and_hygiene,2141.27,0.0001,0.9996,Remaining
pc_gamer,1679.52,0.0001,0.9997,Remaining
flowers,1598.91,0.0001,0.9998,Remaining
home_comfort_2,1170.58,0.0001,0.9999,Remaining
cds_dvds_musicals,954.99,0.0001,0.9999,Remaining
fashion_childrens_clothes,665.36,0.0000,1.0000,Remaining
security_and_services,324.51,0.0000,1.0000,Remaining
