"cohort_month","month_index","active_customers","cohort_customers","retention_rate"
2016-09-01,0,2,2,1.0000
2016-10-01,0,290,290,1.0000
2016-10-01,6,1,290,0.0034
2016-10-01,9,1,290,0.0034
2016-10-01,11,1,290,0.0034
2016-12-01,0,1,1,1.0000
2016-12-01,1,1,1,1.0000
2017-01-01,0,752,752,1.0000
2017-01-01,1,3,752,0.0040
2017-01-01,2,2,752,0.0027
2017-01-01,3,1,752,0.0013
2017-01-01,4,3,752,0.0040
2017-01-01,5,1,752,0.0013
2017-01-01,6,3,752,0.0040
2017-01-01,7,1,752,0.0013
2017-01-01,8,1,752,0.0013
2017-01-01,10,3,752,0.0040
2017-01-01,11,1,752,0.0013
2017-01-01,12,5,752,0.0066
2017-02-01,0,1690,1690,1.0000
2017-02-01,1,4,1690,0.0024
2017-02-01,2,5,1690,0.0030
2017-02-01,3,2,1690,0.0012
2017-02-01,4,7,1690,0.0041
2017-02-01,5,2,1690,0.0012
2017-02-01,6,4,1690,0.0024
2017-02-01,7,3,1690,0.0018
2017-02-01,8,2,1690,0.0012
2017-02-01,9,3,1690,0.0018
2017-02-01,10,2,1690,0.0012
2017-02-01,11,5,1690,0.0030
2017-02-01,12,2,1690,0.0012
2017-03-01,0,2571,2571,1.0000
2017-03-01,1,13,2571,0.0051
2017-03-01,2,9,2571,0.0035
2017-03-01,3,10,2571,0.0039
2017-03-01,4,9,2571,0.0035
2017-03-01,5,4,2571,0.0016
2017-03-01,6,4,2571,0.0016
2017-03-01,7,8,2571,0.0031
2017-03-01,8,9,2571,0.0035
2017-03-01,9,2,2571,0.0008
2017-03-01,10,10,2571,0.0039
2017-03-01,11,3,2571,0.0012
2017-03-01,12,6,2571,0.0023
2017-04-01,0,2325,2325,1.0000
2017-04-01,1,14,2325,0.0060
2017-04-01,2,5,2325,0.0022
2017-04-01,3,4,2325,0.0017
2017-04-01,4,7,2325,0.0030
2017-04-01,5,6,2325,0.0026
2017-04-01,6,8,2325,0.0034
2017-04-01,7,7,2325,0.0030
2017-04-01,8,7,2325,0.0030
2017-04-01,9,4,2325,0.0017
2017-04-01,10,6,2325,0.0026
2017-04-01,11,2,2325,0.0009
2017-04-01,12,2,2325,0.0009
2017-05-01,0,3541,3541,1.0000
2017-05-01,1,17,3541,0.0048
2017-05-01,2,17,3541,0.0048
2017-05-01,3,14,3541,0.0040
2017-05-01,4,11,3541,0.0031
2017-05-01,5,12,3541,0.0034
2017-05-01,6,15,3541,0.0042
2017-05-01,7,5,3541,0.0014
2017-05-01,8,9,3541,0.0025
2017-05-01,9,9,3541,0.0025
2017-05-01,10,9,3541,0.0025
2017-05-01,11,12,3541,0.0034
2017-05-01,12,9,3541,0.0025
2017-06-01,0,3102,3102,1.0000
2017-06-01,1,14,3102,0.0045
2017-06-01,2,11,3102,0.0035
2017-06-01,3,12,3102,0.0039
2017-06-01,4,8,3102,0.0026
2017-06-01,5,12,3102,0.0039
2017-06-01,6,11,3102,0.0035
2017-06-01,7,7,3102,0.0023
2017-06-01,8,4,3102,0.0013
2017-06-01,9,7,3102,0.0023
2017-06-01,10,10,3102,0.0032
2017-06-01,11,10,3102,0.0032
2017-06-01,12,5,3102,0.0016
2017-07-01,0,3822,3822,1.0000
2017-07-01,1,20,3822,0.0052
2017-07-01,2,13,3822,0.0034
2017-07-01,3,9,3822,0.0024
2017-07-01,4,11,3822,0.0029
2017-07-01,5,8,3822,0.0021
2017-07-01,6,12,3822,0.0031
2017-07-01,7,4,3822,0.0010
2017-07-01,8,7,3822,0.0018
2017-07-01,9,10,3822,0.0026
2017-07-01,10,8,3822,0.0021
2017-07-01,11,11,3822,0.0029
2017-07-01,12,5,3822,0.0013
2017-08-01,0,4130,4130,1.0000
2017-08-01,1,28,4130,0.0068
2017-08-01,2,14,4130,0.0034
2017-08-01,3,11,4130,0.0027
2017-08-01,4,15,4130,0.0036
2017-08-01,5,22,4130,0.0053
2017-08-01,6,12,4130,0.0029
2017-08-01,7,11,4130,0.0027
2017-08-01,8,6,4130,0.0015
2017-08-01,9,6,4130,0.0015
2017-08-01,10,10,4130,0.0024
2017-08-01,11,8,4130,0.0019
2017-08-01,12,5,4130,0.0012
2017-09-01,0,4075,4075,1.0000
2017-09-01,1,28,4075,0.0069
2017-09-01,2,22,4075,0.0054
2017-09-01,3,12,4075,0.0029
2017-09-01,4,18,4075,0.0044
2017-09-01,5,9,4075,0.0022
2017-09-01,6,9,4075,0.0022
2017-09-01,7,10,4075,0.0025
2017-09-01,8,12,4075,0.0029
2017-09-01,9,7,4075,0.0017
2017-09-01,10,11,4075,0.0027
2017-09-01,11,3,4075,0.0007
2017-10-01,0,4392,4392,1.0000
2017-10-01,1,31,4392,0.0071
2017-10-01,2,11,4392,0.0025
2017-10-01,3,4,4392,0.0009
2017-10-01,4,10,4392,0.0023
2017-10-01,5,9,4392,0.0020
2017-10-01,6,9,4392,0.0020
2017-10-01,7,16,4392,0.0036
2017-10-01,8,12,4392,0.0027
2017-10-01,9,9,4392,0.0020
2017-10-01,10,9,4392,0.0020
2017-11-01,0,7188,7188,1.0000
2017-11-01,1,40,7188,0.0056
2017-11-01,2,28,7188,0.0039
2017-11-01,3,12,7188,0.0017
2017-11-01,4,14,7188,0.0019
2017-11-01,5,13,7188,0.0018
2017-11-01,6,8,7188,0.0011
2017-11-01,7,14,7188,0.0019
2017-11-01,8,9,7188,0.0013
2017-11-01,9,4,7188,0.0006
2017-12-01,0,5437,5437,1.0000
2017-12-01,1,12,5437,0.0022
2017-12-01,2,15,5437,0.0028
2017-12-01,3,19,5437,0.0035
2017-12-01,4,14,5437,0.0026
2017-12-01,5,11,5437,0.0020
2017-12-01,6,9,5437,0.0017
2017-12-01,7,1,5437,0.0002
2017-12-01,8,12,5437,0.0022
2018-01-01,0,6951,6951,1.0000
2018-01-01,1,23,6951,0.0033
2018-01-01,2,25,6951,0.0036
2018-01-01,3,20,6951,0.0029
2018-01-01,4,20,6951,0.0029
2018-01-01,5,11,6951,0.0016
2018-01-01,6,12,6951,0.0017
2018-01-01,7,16,6951,0.0023
2018-02-01,0,6356,6356,1.0000
2018-02-01,1,23,6356,0.0036
2018-02-01,2,25,6356,0.0039
2018-02-01,3,19,6356,0.0030
2018-02-01,4,17,6356,0.0027
2018-02-01,5,14,6356,0.0022
2018-02-01,6,13,6356,0.0020
2018-03-01,0,6931,6931,1.0000
2018-03-01,1,28,6931,0.0040
2018-03-01,2,21,6931,0.0030
2018-03-01,3,20,6931,0.0029
2018-03-01,4,9,6931,0.0013
2018-03-01,5,8,6931,0.0012
2018-04-01,0,6698,6698,1.0000
2018-04-01,1,39,6698,0.0058
2018-04-01,2,21,6698,0.0031
2018-04-01,3,16,6698,0.0024
2018-04-01,4,9,6698,0.0013
2018-05-01,0,6586,6586,1.0000
2018-05-01,1,34,6586,0.0052
2018-05-01,2,17,6586,0.0026
2018-05-01,3,13,6586,0.0020
2018-06-01,0,5920,5920,1.0000
2018-06-01,1,25,5920,0.0042
2018-06-01,2,16,5920,0.0027
2018-07-01,0,6017,6017,1.0000
2018-07-01,1,31,6017,0.0052
2018-08-01,0,6209,6209,1.0000
2018-08-01,1,1,6209,0.0002
