"state","delivered_orders","delay_rate","avg_delay_days"
AL,397,0.239,-8.71
MA,717,0.197,-9.57
PI,476,0.160,-11.31
CE,1279,0.153,-10.80
SE,335,0.152,-10.02
BA,3256,0.140,-10.79
RJ,12353,0.135,-11.77
TO,274,0.128,-12.13
PA,946,0.124,-14.07
ES,1995,0.122,-10.50
RR,41,0.122,-17.29
MS,701,0.116,-11.05
PB,517,0.110,-13.26
RN,474,0.108,-13.65
PE,1593,0.108,-13.29
SC,3547,0.098,-11.51
GO,1957,0.082,-12.19
DF,2080,0.071,-12.05
RS,5344,0.071,-13.91
MT,886,0.068,-14.36
SP,40495,0.059,-11.08
MG,11355,0.056,-13.24
PR,4923,0.050,-13.31
AP,67,0.045,-19.69
AM,145,0.041,-19.57
AC,80,0.038,-20.73
RO,243,0.029,-20.10
